age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
62,Private,220323.22981946747,Assoc-voc,11.151485030651001,Married-civ-spouse,Tech-support,Husband,White,Male,-149.95654883899078,2.3058933041677516,40.64327340057828,United-States
45,Private,332354.39116264414,Bachelors,13.075221350940197,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,-59.72697354584359,-19.11101494616332,40.42849374545689,Philippines
23,Private,38877.66833734492,HS-grad,8.983351441002016,Never-married,Other-service,Own-child,White,Female,-274.98867325461464,-17.35951687464222,40.700068582577515,United-States
29,Local-gov,151268.9290880306,Bachelors,13.11843801710204,Never-married,Tech-support,Not-in-family,White,Female,-506.02442406214425,4.516615432391168,41.555684979259205,United-States
42,Federal-gov,182261.72019090594,Masters,14.254998740072791,Married-civ-spouse,Adm-clerical,Wife,White,Female,321.2212945552036,1888.5252914637408,39.89568828398114,United-States
38,Private,183173.50545721996,Assoc-acdm,11.972697309457175,Never-married,Machine-op-inspct,Not-in-family,Black,Female,10276.605049287245,4.120033358930129,49.782650318384775,United-States
18,Private,33880.564059566386,11th,6.955390609560958,Never-married,Other-service,Other-relative,White,Female,-460.07706913965916,-39.11996631670966,40.851266779508634,United-States
43,Private,179760.30454846838,HS-grad,8.80735986800773,Married-civ-spouse,Transport-moving,Husband,White,Male,-8.795189068355889,12.028659072107917,60.132798252531515,United-States
52,Federal-gov,223664.04757414726,Bachelors,12.987253472531545,Married-civ-spouse,Protective-serv,Husband,White,Male,-427.7490354754203,10.803140983655346,45.42617585279335,United-States
29,Private,233025.1215644784,Assoc-acdm,11.945874094883745,Divorced,Craft-repair,Unmarried,White,Female,-554.5839725146342,-31.564993363943,38.49322894036045,United-States
51,Private,214246.1230669406,Assoc-voc,11.002737586316952,Married-civ-spouse,Sales,Husband,White,Male,-129.85733254552534,17.980365675861947,39.04580936204307,United-States
18,,180643.47644481977,10th,6.099144431181869,Never-married,,Own-child,Black,Male,18.45241389909214,15.586541512371639,30.107582457542698,United-States
31,Private,138276.9478190989,Bachelors,13.179509227339587,Married-civ-spouse,Other-service,Husband,White,Male,426.3915730949937,20.14095923450463,40.867805720775564,
33,State-gov,295979.3270686292,9th,4.910926228275404,Married-civ-spouse,Farming-fishing,Husband,White,Male,148.92745248228488,50.849859007630045,39.48705219234553,United-States
39,Private,104932.78551154758,HS-grad,8.835962883313526,Never-married,Machine-op-inspct,Unmarried,Black,Female,230.2642049437946,8.535994883488026,40.3491414987247,United-States
30,Private,139312.04813553672,HS-grad,9.043263384252509,Never-married,Other-service,Not-in-family,White,Male,-260.1592709578354,-16.957650023974807,29.778565133802516,United-States
61,Private,78930.52996830455,Some-college,10.14411624654815,Married-civ-spouse,Tech-support,Husband,White,Male,14698.232900039373,-8.43991496279795,18.24137007110305,United-States
40,Private,143530.22457503813,HS-grad,9.056510178298392,Married-civ-spouse,Exec-managerial,Husband,White,Male,354.1570633157044,0.25393960278046,49.14375150607069,United-States
29,Self-emp-not-inc,166449.63909072938,HS-grad,9.061571286888812,Married-civ-spouse,Craft-repair,Husband,White,Male,-162.34531474528876,-15.282543348454519,40.43219110061455,United-States
29,Private,220985.6312820604,HS-grad,9.08392587396221,Divorced,Exec-managerial,Not-in-family,White,Female,-333.53266193177524,7.467408651585672,40.26393753127827,United-States
39,Private,111917.0936501502,Masters,14.269958107775384,Married-civ-spouse,Sales,Husband,White,Male,-251.80021869277266,1995.46945643056,54.39637786681103,United-States
33,Private,150222.91940083433,HS-grad,8.778640566294435,Never-married,Machine-op-inspct,Unmarried,White,Male,-157.74213430542878,-32.552124465108136,40.01250122598762,United-States
36,Private,124628.50601145803,HS-grad,8.97713573209462,Divorced,Machine-op-inspct,Unmarried,White,Male,522.8854878923883,-4.701869730054595,40.23265428074916,United-States
64,Private,183873.85818872676,Prof-school,15.195167864842338,Married-civ-spouse,Exec-managerial,Husband,White,Male,-476.1226244662033,30.305651905217243,59.616346416792005,United-States
