age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
62,Private,213754.1498911827,Assoc-voc,11.016061954131818,Married-civ-spouse,Tech-support,Husband,White,Male,-493.07938314054377,-3.1080000511382955,39.79828055758488,United-States
45,Private,344633.03377210273,Bachelors,13.21292780083662,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,13.028117953107706,7.425333349161804,39.75518713102173,Philippines
23,Private,39862.64411058814,HS-grad,9.010457305071542,Never-married,Other-service,Own-child,White,Female,-193.3924535583036,-6.241612345969108,41.180971956563575,United-States
29,Local-gov,143292.15579960807,Bachelors,13.063158805576904,Never-married,Tech-support,Not-in-family,White,Female,386.0953463560928,10.81254541831075,41.620388966840004,United-States
42,Federal-gov,179333.08688563984,Masters,13.89260255163831,Married-civ-spouse,Adm-clerical,Wife,White,Female,247.25468151560517,1881.4035905324622,39.94045287620411,United-States
38,Private,183813.3288726419,Assoc-acdm,12.01354547722597,Never-married,Machine-op-inspct,Not-in-family,Black,Female,10500.346586165258,-39.67989807286291,49.6914078085658,United-States
18,Private,32058.988177430834,11th,7.11007927200468,Never-married,Other-service,Other-relative,White,Female,-716.1245241521078,-24.329929412463926,40.392022281249496,United-States
43,Private,170102.86394820918,HS-grad,8.953114344389672,Married-civ-spouse,Transport-moving,Husband,White,Male,495.7260311307855,25.529103045016342,60.08821142387965,United-States
52,Federal-gov,231988.336503982,Bachelors,13.051376087669231,Married-civ-spouse,Protective-serv,Husband,White,Male,42.16127762294796,21.86259701811139,45.01007591184303,United-States
29,Private,237929.78160158102,Assoc-acdm,12.10317010322469,Divorced,Craft-repair,Unmarried,White,Female,-408.9190003829335,25.20873837407925,39.08971219068476,United-States
51,Private,209171.67839520512,Assoc-voc,10.783660165100745,Married-civ-spouse,Sales,Husband,White,Male,-151.7794422454634,-0.8082652777790638,39.41675439412898,United-States
18,,196114.26857279718,10th,5.922348346382862,Never-married,,Own-child,Black,Male,-143.1232600654838,-12.619707141937083,30.6664925570598,United-States
31,Private,145451.68097450476,Bachelors,13.049749259573161,Married-civ-spouse,Other-service,Husband,White,Male,-52.74733410845077,-13.223544722170777,39.94332623048365,
